quadkey,latitude,longitude,rwi,error
13221033121310,17.5497715,106.4904785,-0.066,0.408
13221300130000,16.2885057,107.9406738,0.236,0.413
13223100023010,10.6498109,107.1057129,0.364,0.417
13221321211232,13.0794780,108.8635254,-0.205,0.370
13221320331300,12.8010881,108.2043457,-0.073,0.403
13223100011211,11.0813844,107.4792480,-0.406,0.383
13221321200033,13.1650736,108.3581543,-0.417,0.364
13203233223131,22.0550957,105.8093262,0.088,0.398
13221302310320,14.4665962,108.0285645,-0.252,0.397
13221322131023,12.1360050,108.1384277,-0.035,0.397
13221320120310,13.4857894,107.7209473,-0.419,0.367
13221322023210,11.9426009,107.1057129,-0.137,0.374
13221322232232,11.1891794,107.2814941,-0.705,0.413
13221323233001,11.3400249,108.8415527,0.296,0.376
13221010022233,21.2996102,104.1394043,-0.648,0.377
13223010103310,10.9088300,105.0842285,0.816,0.419
13221030102102,19.1140289,104.8645020,0.543,0.409
13221011303220,20.9922139,106.3586426,0.647,0.438
13221233231132,11.4477230,106.1389160,-0.236,0.412
13223011131322,10.6714043,106.7980957,-0.208,0.439
13221001313313,21.0127268,104.0515137,-0.310,0.332
13221233311312,11.7490585,106.8420410,-0.258,0.382
13221233323010,11.3400249,106.4025879,-0.174,0.397
13221010302312,21.0127268,104.9084473,0.260,0.410
13221323233000,11.3400249,108.8195801,0.052,0.568
13221233302322,11.5338520,106.2707520,0.126,0.392
13221321323202,12.6081759,109.1711426,0.282,0.380
13221302233032,14.0193555,107.4572754,0.187,0.402
13223010311330,10.3473437,105.4357910,0.600,0.423
13203232031232,22.7660511,104.6447754,-0.278,0.368
13223100002033,10.9304048,106.9519043,0.603,0.415
13221013032233,19.9836736,105.8972168,0.483,0.408
13221320131210,13.4857894,108.1604004,-0.788,0.407
13203223202103,22.4008712,102.7770996,-0.847,0.391
13221300112232,16.3095952,107.9846191,0.180,0.441
13221302333211,13.9980363,108.1823730,0.549,0.405
13223010132123,10.5850215,105.2380371,0.265,0.425
13221010312220,20.9922139,105.1281738,-0.037,0.416
13221321223110,12.7153674,108.5998535,-0.648,0.369
13221030311121,18.5941885,105.4138184,0.271,0.375
13203223303030,22.3805551,103.5900879,0.066,0.390
13221320313210,12.9724418,108.1604004,0.181,0.408
13221012101033,20.5607954,105.0183105,1.012,0.409
13221233132023,11.9640971,106.5563965,0.454,0.412
13221011103330,21.6472167,106.4904785,-0.360,0.381
13221100203331,20.9922139,107.2155762,0.922,0.435
13223013003310,9.5249141,105.7873535,0.394,0.422
13221013011203,20.5196439,106.0290527,0.980,0.415
13223013012121,9.5682508,105.9411621,0.282,0.399
13223011031010,10.8225151,106.0510254,-1.035,0.399
13223011102302,10.8872536,106.2707520,0.326,0.406
13221323102223,12.2219175,109.0173340,-0.384,0.402
13221303011031,15.2311894,108.8854980,0.168,0.400
13221320333000,12.7153674,108.1164551,0.164,0.408
13221011233303,20.6841834,106.1169434,0.553,0.424
13221322321113,11.4907908,107.9187012,0.641,0.402
13203223122201,22.6647094,103.3923340,-0.520,0.366
13223010331311,10.0445848,105.4577637,0.276,0.397
13221322033133,11.9640971,107.5671387,0.433,0.413
13221010303111,21.1152490,105.1062012,0.151,0.422
13203223302031,22.3805551,103.4362793,-0.533,0.413
13221322031121,12.1574857,107.5231934,-0.549,0.362
13203233330132,22.1975771,106.6662598,0.279,0.397
13221323000103,12.5223904,108.4020996,-0.128,0.380
13221323231022,11.4477230,108.8195801,-0.682,0.418
13223013001021,9.7415422,105.6774902,-0.164,0.410
13221011302210,21.0332369,106.2268066,0.014,0.439
13221012130000,20.2931131,105.1281738,-0.336,0.384
13223011302330,10.1743738,106.3146973,0.156,0.414
13223011201132,10.4121830,105.7873535,-0.329,0.411
13221233301113,11.8350943,106.5124512,-0.494,0.394
13221320100313,13.8060751,107.7429199,-0.295,0.393
13221302130011,14.9341696,108.0065918,-0.201,0.416
13221012011313,20.5196439,104.7546387,-0.549,0.354
13221302332230,13.9553920,107.9846191,1.143,0.435
13221001031233,21.4632931,103.2604980,-0.612,0.374
13221322102032,12.3078021,107.6330566,-0.283,0.393
13223013022101,9.2647792,105.5895996,0.506,0.418
13221323222203,11.2322862,108.3142090,0.333,0.423
13221321302200,12.9724418,108.9953613,0.007,0.377
13221302110111,15.2735868,108.0944824,-0.352,0.373
